id,eigenvector,betweenness
AGAP000118,0.00046232,0.000323787
AGAP000119,0.000167098,0.000141413
AGAP000120,0.000318578,1.50E-06
AGAP000121,0.001731798,1.80E-05
AGAP000123,0.009218257,0.000233054
AGAP000124,3.42E-07,6.94E-05
AGAP000127,5.25E-05,0
AGAP000128,8.34E-06,7.16E-05
AGAP000129,0.001612378,0.001614074
AGAP000130,0.008371432,0.000307213
AGAP000131,1.62E-06,0
AGAP000132,0.00079458,0.000298327
AGAP000133,1.34E-05,3.88E-07
AGAP000136,9.91E-07,4.24E-06
AGAP000137,0.000403822,0.000173672
AGAP000138,0.002445568,5.33E-05
AGAP000139,0.000283795,7.67E-05
AGAP000140,5.46E-09,0
AGAP000141,0.005070085,4.83E-05
AGAP000142,0.000978088,7.88E-05
AGAP000143,1.81E-07,0.000177229
AGAP000145,0.00417234,4.45E-05
AGAP000146,0.005021445,7.61E-05
AGAP000147,0.000149382,0.000200301
AGAP000149,0.009762379,3.86E-06
AGAP000150,2.25E-07,0
AGAP000151,8.37E-07,8.08E-05
AGAP000152,3.59E-05,0.00129321
AGAP000153,0.00403168,4.37E-05
AGAP000155,1.72E-05,1.11E-05
AGAP000156,3.43E-05,6.98E-06
AGAP000158,0.003578006,0.000100898
AGAP000159,0.000835368,1.07E-05
AGAP000160,0.001278019,0.00017488
AGAP000161,1.26E-06,1.65E-05
AGAP000162,5.76E-05,2.68E-06
AGAP000164,0.010488266,0.00012154
AGAP000165,0.002832462,0.000155189
AGAP000168,0.000247033,0.000960785
AGAP000169,1.82E-05,1.33E-05
AGAP000170,0.012002397,0.000228829
AGAP000171,1.35E-05,2.24E-06
AGAP000173,0.000259801,8.63E-08
AGAP000177,0.000746763,1.06E-05
AGAP000178,0.000105454,6.32E-06
AGAP000179,3.42E-05,0.000420342
AGAP000180,7.88E-06,7.82E-06
AGAP000181,1.02E-06,0
AGAP000182,3.53E-05,0
AGAP000183,0.000220763,4.42E-05
AGAP000184,0.00030475,0
AGAP000185,3.14E-05,0.000184244
AGAP000186,5.13E-07,3.60E-08
AGAP000187,4.17E-07,2.21E-06
AGAP000188,6.03E-05,3.01E-06
AGAP000189,0.000172173,6.32E-05
AGAP000190,0.00197193,6.56E-06
AGAP000191,5.13E-05,0.000170139
AGAP000192,4.36E-05,0
AGAP000193,0.000578733,1.77E-05
AGAP000194,1.56E-05,0
AGAP000195,6.17E-06,4.31E-08
AGAP000196,0.000137914,2.71E-05
AGAP000198,2.91E-05,5.90E-07
AGAP000199,0.000122407,3.78E-05
AGAP000200,0.000990132,0.001332928
AGAP000201,0.000709899,3.32E-05
AGAP000202,5.77E-05,1.73E-07
AGAP000203,5.26E-06,4.31E-07
AGAP000204,9.62E-06,2.09E-05
AGAP000205,0.027173264,0.000276569
AGAP000206,3.63E-05,0.000101571
AGAP000209,0.000156139,3.15E-06
AGAP000210,5.85E-07,0
AGAP000211,7.69E-06,5.29E-05
AGAP000213,0.000161663,1.14E-06
AGAP000214,0.001007654,7.90E-05
AGAP000215,0.01076986,0.000107108
AGAP000216,0.000802428,1.62E-05
AGAP000217,0.001399755,1.79E-06
AGAP000218,0.016052811,0.000168137
AGAP000219,0.000376262,1.87E-06
AGAP000220,0.000138488,0
AGAP000222,0.039165639,1.69E-05
AGAP000223,3.39E-07,0
AGAP000225,0.000716264,0.000159349
AGAP000226,0.000412965,4.54E-05
AGAP000228,3.89E-05,5.75E-08
AGAP000230,0.000359546,0.000341457
AGAP000232,0.000466541,8.07E-05
AGAP000233,0.000603523,3.24E-07
AGAP000234,0.000213515,0.000102051
AGAP000235,0.030830201,5.07E-05
AGAP000236,0.000528222,4.07E-05
AGAP000237,2.93E-05,0
AGAP000238,1.05E-06,2.73E-07
AGAP000239,0.000404152,0
AGAP000241,3.76E-06,8.99E-06
AGAP000242,0.000501575,0.000128371
AGAP000244,0.00137723,9.53E-06
AGAP000245,0.000296047,7.53E-06
AGAP000247,0.009326191,4.40E-05
AGAP000248,1.46E-06,0.000170095
AGAP000249,8.57E-07,0
AGAP000250,1.22E-05,2.93E-06
AGAP000251,5.50E-05,0.000106261
AGAP000252,0.000424142,0.000191004
AGAP000254,0.000967763,8.93E-05
AGAP000255,0.013795308,0.000135827
AGAP000256,0.007833654,1.70E-05
AGAP000258,8.54E-06,0
AGAP000260,0.000260622,0.00012537
AGAP000261,1.67E-05,4.71E-05
AGAP000262,0.020029877,7.95E-05
AGAP000266,0.000422758,2.20E-05
AGAP000267,0.000790278,2.62E-06
AGAP000268,4.05E-06,1.13E-05
AGAP000269,0.000773715,3.19E-05
AGAP000270,0.000246095,5.21E-05
AGAP000271,0.000563803,5.84E-05
AGAP000272,0.000360478,5.09E-05
AGAP000273,0.00019786,5.18E-05
AGAP000274,0.000157494,5.03E-05
AGAP000275,0.004197228,7.48E-07
AGAP000277,3.96E-05,0.000159924
AGAP000278,0.000626389,7.75E-05
AGAP000279,0.000108572,1.63E-05
AGAP000280,0.000919252,9.54E-05
AGAP000281,6.77E-06,4.62E-06
AGAP000283,0.000736808,6.26E-05
AGAP000284,1.37E-08,0
AGAP000285,0.003671099,9.17E-05
AGAP000286,0.00012173,0.000473991
AGAP000287,0.000132342,7.67E-06
AGAP000288,2.41E-05,0
AGAP000289,0.000323596,3.42E-05
AGAP000290,3.24E-05,0.000107894
AGAP000291,6.39E-05,1.58E-07
AGAP000292,0.000176417,0.00032518
AGAP000293,0.007644939,0.004461583
AGAP000294,0.000287071,1.53E-05
AGAP000296,0.000268227,0.000101174
AGAP000298,0.000627244,5.75E-07
AGAP000299,0.000606906,0
AGAP000300,8.16E-05,2.18E-05
AGAP000301,4.72E-06,0.000296798
AGAP000303,0.002794927,0.000193011
AGAP000304,0.001545656,8.17E-05
AGAP000305,0.000241938,0.000126835
AGAP000306,0.000104247,1.73E-07
AGAP000307,4.19E-05,0
AGAP000308,7.55E-05,5.60E-06
AGAP000309,0.000695781,2.16E-05
AGAP000310,6.44E-09,0
AGAP000312,1.72E-06,0
AGAP000314,0.00776779,0.000248615
AGAP000315,1.00E-06,1.29E-07
AGAP000316,0.000147438,6.21E-05
AGAP000319,1.07E-05,0
AGAP000321,7.64E-06,2.17E-06
AGAP000322,0.000121978,4.82E-05
AGAP000323,5.19E-05,3.45E-07
AGAP000324,0.000301509,4.40E-05
AGAP000325,5.88E-05,1.77E-06
AGAP000326,6.91E-05,1.58E-07
AGAP000327,8.52E-05,4.46E-07
AGAP000328,0.007820959,0.00084519
AGAP000329,0.001363164,2.45E-05
AGAP000330,1.31E-06,0
AGAP000331,0.000134533,0.000258313
AGAP000332,0.000535315,2.88E-05
AGAP000334,0.000318274,8.84E-06
AGAP000336,0.038210288,0.000362521
AGAP000337,5.54E-05,1.89E-05
AGAP000338,0.000286044,0.000345872
AGAP000339,1.65E-06,0
AGAP000340,3.49E-05,0
AGAP000342,0.000662434,2.78E-06
AGAP000343,0.000172513,2.88E-07
AGAP000344,0.01788717,0.000104394
AGAP000345,0.017701634,9.04E-05
AGAP000346,4.73E-05,2.40E-05
AGAP000347,6.81E-05,1.06E-06
AGAP000348,0.000849357,3.74E-06
AGAP000349,3.99E-06,1.77E-06
AGAP000351,0.000119327,5.75E-08
AGAP000352,0.000243486,3.63E-06
AGAP000354,0.003802465,0
AGAP000355,5.42E-07,0
AGAP000356,5.39E-07,1.91E-06
AGAP000357,6.29E-06,0.000260788
AGAP000358,0.009869075,1.51E-05
AGAP000359,0.000585836,0.000210189
AGAP000360,0.001138928,1.33E-06
AGAP000361,1.36E-05,2.84E-05
AGAP000363,0.000590516,1.91E-05
AGAP000364,0.006588871,6.58E-05
AGAP000365,3.54E-06,9.53E-05
AGAP000366,1.72E-05,1.20E-05
AGAP000367,0.000170265,1.29E-07
AGAP000368,3.04E-05,0.000132704
AGAP000369,0.000288936,2.19E-05
AGAP000374,2.49E-05,6.36E-05
AGAP000375,0.000209556,7.09E-05
AGAP000376,5.15E-05,0
AGAP000377,7.63E-05,1.53E-05
AGAP000378,0.007187395,5.75E-08
AGAP000379,0.00136891,8.01E-05
AGAP000380,0.000367658,3.91E-05
AGAP000382,0.000708122,9.96E-05
AGAP000383,0.000851781,0.000379861
AGAP000387,1.98E-05,0.000156481
AGAP000388,0.000223676,5.73E-05
AGAP000389,0.042795893,0.000955167
AGAP000390,6.96E-05,1.27E-06
AGAP000391,1.19E-05,7.91E-07
AGAP000392,7.88E-06,0.00010393
AGAP000393,0.017357019,3.92E-06
AGAP000394,0.000254306,0.000461957
AGAP000395,0.000202113,5.39E-05
AGAP000396,0.002023805,0.000262618
AGAP000397,7.47E-05,4.75E-07
AGAP000398,0.000163137,4.70E-06
AGAP000399,0.00233778,8.11E-05
AGAP000400,0.001901655,0.000159503
AGAP000401,7.84E-05,0.00030103
AGAP000402,0.000185609,0.000111243
AGAP000403,0.004883263,0.00011733
AGAP000405,0.000416745,1.58E-05
AGAP000406,7.09E-07,1.57E-06
AGAP000407,0.000434244,0.000767579
AGAP000411,0.001860578,5.60E-05
AGAP000412,0.000171353,1.58E-07
AGAP000413,0.001810569,3.10E-05
AGAP000414,4.09E-05,3.79E-06
AGAP000415,3.66E-05,0
AGAP000416,6.37E-05,1.85E-06
AGAP000417,0.003673517,9.72E-05
AGAP000420,4.07E-05,9.72E-05
AGAP000421,5.06E-05,0
AGAP000422,0.001276433,8.65E-06
AGAP000425,0.002285549,6.49E-05
AGAP000426,0.000212359,2.18E-05
AGAP000427,9.52E-06,0.000196832
AGAP000428,0.000270458,0.000137098
AGAP000429,0.000166212,8.75E-05
AGAP000430,0.00048537,0.000103398
AGAP000431,0.002878063,5.46E-05
AGAP000432,0.000395917,7.84E-05
AGAP000433,0.00426095,9.56E-06
AGAP000434,6.99E-07,5.75E-08
AGAP000436,3.05E-05,3.02E-06
AGAP000437,4.08E-05,1.61E-05
AGAP000438,0.000178451,1.61E-05
AGAP000439,0.000320007,2.44E-07
AGAP000440,0.00028496,0
AGAP000441,0.00396544,0.000164854
AGAP000444,4.50E-05,1.66E-06
AGAP000445,0.000119093,0.000155039
AGAP000446,0.001533767,6.69E-05
AGAP000447,0.000203325,0.000890728
AGAP000448,0.000222453,0
AGAP000449,0.001469054,0.000358408
AGAP000452,2.05E-05,0
AGAP000453,2.34E-06,7.91E-07
AGAP000454,0.001108165,0.000176582
AGAP000456,0.029202957,3.09E-05
AGAP000457,1.30E-05,0.000169592
AGAP000458,0.000369426,6.37E-05
AGAP000460,0.000559014,0.000335258
AGAP000461,0.020180932,0.00137867
AGAP000462,0.023283977,0.000833268
AGAP000463,6.48E-05,2.26E-06
AGAP000466,0.000975152,0.000516727
AGAP000467,1.61E-05,0.000225158
AGAP000468,1.07E-06,6.60E-05
AGAP000469,0.009416403,0.000108073
AGAP000471,0.00012991,0.000351185
AGAP000472,0.00188916,6.57E-05
AGAP000473,0.000215738,2.49E-05
AGAP000474,5.02E-05,0.000152198
AGAP000475,4.09E-06,2.59E-06
AGAP000476,0.000339927,1.40E-05
AGAP000477,0.000366186,0.000223916
AGAP000478,6.04E-09,8.63E-08
AGAP000479,0.000177125,1.81E-05
AGAP000480,2.86E-05,4.11E-06
AGAP000481,4.55E-05,0
AGAP000482,0.000212569,1.16E-05
AGAP000483,6.49E-05,0.000203192
AGAP000484,0.011607996,0.000547706
AGAP000485,0.002495084,1.47E-05
AGAP000488,0.000555755,3.43E-05
AGAP000489,0.010119046,0.000148407
AGAP000491,0.000815153,6.69E-05
AGAP000493,8.04E-08,0
AGAP000494,1.44E-06,5.90E-07
AGAP000495,0.000291103,0.000271456
AGAP000496,0.000594274,0.000296098
AGAP000497,1.89E-05,1.62E-06
AGAP000498,0.0116602,5.17E-05
AGAP000499,0.001019591,0.000253796
AGAP000500,0.01292335,2.91E-06
AGAP000504,0.005919292,5.56E-05
AGAP000506,0.000208999,4.34E-05
AGAP000507,2.07E-05,3.46E-06
AGAP000508,0.001201653,0.000777133
AGAP000509,1.83E-05,7.05E-07
AGAP000512,0.025567662,6.97E-06
AGAP000513,3.98E-05,5.99E-06
AGAP000514,0.000761068,0.000168824
AGAP000515,8.31E-05,0.000101576
AGAP000516,8.23E-06,4.31E-06
AGAP000519,0.000706167,9.21E-05
AGAP000520,0.000736099,1.91E-05
AGAP000521,0.000504837,2.16E-06
AGAP000522,0.00171976,2.59E-07
AGAP000523,0.003621453,0.000229877
AGAP000526,0.001462726,1.17E-05
AGAP000528,0.000244625,4.58E-05
AGAP000529,0.000159754,0.000144176
AGAP000530,0.000464364,5.21E-05
AGAP000531,5.20E-05,2.10E-05
AGAP000532,4.28E-05,0
AGAP000533,1.25E-07,0
AGAP000534,9.36E-06,0
AGAP000535,4.33E-08,8.13E-06
AGAP000536,9.76E-05,0
AGAP000537,0.000145313,2.65E-05
AGAP000538,8.62E-05,1.19E-06
AGAP000539,0.006543959,1.63E-05
AGAP000540,0.001757395,6.61E-06
AGAP000541,0.026636243,0.001245109
AGAP000543,0.000142461,0
AGAP000544,7.61E-05,1.74E-06
AGAP000545,0.000200685,0.000176359
AGAP000546,0.006060544,3.05E-06
AGAP000547,3.61E-05,4.87E-05
AGAP000548,8.83E-07,7.85E-05
AGAP000549,0.002706944,0.000163969
AGAP000550,1.50E-06,0
AGAP000551,1.27E-06,0
AGAP000552,0.000146778,2.40E-05
AGAP000553,1.07E-06,1.86E-05
AGAP000554,0.000269715,9.70E-06
AGAP000555,0.001271178,0.001717892
AGAP000556,0.000247262,0.000133457
AGAP000558,3.46E-05,0
AGAP000559,0.000204938,0.001120492
AGAP000560,0.000100747,0
AGAP000561,0.00196029,0.000135198
AGAP000562,0.01961723,4.28E-05
AGAP000563,7.82E-06,2.77E-05
AGAP000564,2.18E-06,1.53E-06
AGAP000565,0.005896016,7.96E-06
AGAP000566,0.000299613,7.41E-05
AGAP000567,0.000583985,0.000160121
AGAP000569,0.000631058,1.01E-05
AGAP000570,3.49E-06,0
AGAP000572,5.87E-05,1.44E-08
AGAP000573,1.05E-05,2.09E-06
AGAP000574,1.09E-06,0
AGAP000575,3.84E-05,3.53E-05
AGAP000576,3.89E-06,2.66E-05
AGAP000577,0.001109648,0
AGAP000578,0.000375634,6.97E-05
AGAP000579,0.00033373,0.000558968
AGAP000585,0.000151556,1.58E-05
AGAP000586,0.000357602,9.50E-06
AGAP000587,0.000773112,2.52E-07
AGAP000588,1.13E-06,0
AGAP000589,0.000110133,6.29E-05
AGAP000591,1.43E-05,0
AGAP000592,0.005858075,2.00E-05
AGAP000594,3.81E-05,0.00027406
AGAP000596,4.14E-06,9.06E-07
AGAP000597,0.000280578,6.46E-06
AGAP000598,0.001438338,0.000152487
AGAP000599,1.11E-05,5.75E-08
AGAP000601,3.52E-06,0
AGAP000602,4.17E-06,0.000282888
AGAP000603,0.000143102,0.000645386
AGAP000604,2.06E-06,1.08E-06
AGAP000605,6.84E-06,2.10E-05
AGAP000606,0.00036577,0.000236453
AGAP000607,2.94E-07,4.98E-06
AGAP000609,3.30E-07,2.05E-05
AGAP000610,2.22E-07,0
AGAP000611,7.88E-07,2.71E-05
AGAP000612,7.58E-07,6.75E-05
AGAP000614,9.61E-06,0
AGAP000615,0.000330829,0.000196537
AGAP000616,0.000217155,2.30E-06
AGAP000617,0.000155628,2.31E-06
AGAP000618,0.012631836,0.001000446
AGAP000619,5.26E-06,4.91E-06
AGAP000620,2.90E-05,0
AGAP000621,0.001032142,7.26E-07
AGAP000622,4.01E-05,5.47E-05
AGAP000624,0.000302935,4.94E-05
AGAP000625,2.87E-07,0
AGAP000626,0.000762718,6.89E-06
AGAP000627,0.015213051,1.64E-06
AGAP000628,0.000106031,4.20E-06
AGAP000630,0.003206167,3.25E-05
AGAP000631,0.000372889,0.00154445
AGAP000633,0.000125818,8.38E-07
AGAP000634,0.000192179,1.37E-05
AGAP000635,0.000743119,0.000110552
AGAP000636,0.000510843,1.14E-06
AGAP000637,0.000972995,1.77E-06
AGAP000638,0.001790871,0.0003094
AGAP000639,0.001512156,0
AGAP000640,0.014557813,0.000611816
AGAP000641,0.001209413,4.93E-06
AGAP000642,0.014204098,0.00022328
AGAP000643,0.01186944,0.000198656
AGAP000644,0.001727663,0.000149713
AGAP000646,0.000710649,1.28E-05
AGAP000647,2.30E-05,9.43E-06
AGAP000648,6.31E-05,0
AGAP000649,7.97E-05,0
AGAP000650,0.00065663,4.17E-05
AGAP000651,0.005014505,0.000178436
AGAP000652,0.001015531,8.63E-08
AGAP000653,0.000146618,3.47E-06
AGAP000654,0.011551878,2.44E-05
AGAP000655,0.023160862,8.88E-05
AGAP000656,7.02E-06,1.34E-05
AGAP000657,0.00081724,0.000132513
AGAP000658,0.008066941,0.000880081
AGAP000659,0.000120762,9.03E-05
AGAP000660,0.0015065,0.000383943
AGAP000662,0.000787947,1.36E-05
AGAP000663,0.000117064,4.35E-05
AGAP000666,0.000320976,0
AGAP000667,0.001601047,0.000147773
AGAP000668,0.000144805,5.63E-05
AGAP000669,0.017437522,0.000356913
AGAP000670,9.34E-05,6.04E-06
AGAP000671,0.005551751,5.25E-05
AGAP000672,0.000937082,1.53E-06
AGAP000673,0.000373205,0.000159148
AGAP000674,0.006521995,2.09E-05
AGAP000676,1.42E-05,3.00E-05
AGAP000678,0.006774015,0.000634705
AGAP000679,0.000762323,7.54E-06
AGAP000680,0.000319969,6.45E-05
AGAP000681,0.000549086,4.88E-05
AGAP000682,0.00026779,9.75E-05
AGAP000684,8.58E-06,2.09E-05
AGAP000685,0.000317604,4.18E-06
AGAP000686,0.000177937,1.49E-06
AGAP000687,0.040026911,0.000131844
AGAP000688,0.000373424,1.46E-06
AGAP000689,1.64E-05,7.15E-05
AGAP000692,1.84E-05,8.07E-05
AGAP000693,0.000175934,0.000443021
AGAP000694,2.90E-05,0.000114113
AGAP000695,0.006133994,4.25E-05
AGAP000696,0.050346533,0.000255963
AGAP000697,0.055301297,0.000128982
AGAP000698,0.000240475,0.002790259
AGAP000699,0.000230512,0.00093259
AGAP000700,0.000177612,1.73E-05
AGAP000702,0.000485297,1.74E-05
AGAP000703,0.000191393,4.96E-05
AGAP000704,0.000104837,0.000187537
AGAP000705,0.001104418,0.000278556
AGAP000706,0.057510416,0.000271705
AGAP000708,7.31E-05,1.02E-06
AGAP000711,0.00185855,0.000743633
AGAP000713,1.77E-05,0
AGAP000714,0.003143835,0.000105548
AGAP000715,5.54E-05,0
AGAP000717,5.94E-05,0
AGAP000718,1.99E-07,7.73E-06
AGAP000719,0.000369632,7.78E-06
AGAP000720,0.030838191,4.93E-06
AGAP000721,0.005101198,2.19E-06
AGAP000723,8.98E-05,2.84E-05
AGAP000724,2.74E-08,6.67E-06
AGAP000725,0.000171736,3.84E-06
AGAP000726,3.36E-05,3.31E-07
AGAP000727,0.000413244,1.27E-06
AGAP000728,0.000289376,2.06E-06
AGAP000731,0.000107064,1.91E-06
AGAP000733,1.25E-05,2.99E-05
AGAP000734,0.001341943,4.37E-05
AGAP000735,0.000341736,1.99E-05
AGAP000736,3.83E-06,0
AGAP000737,0.005466284,0.000264638
AGAP000738,0.000635792,0.000147135
AGAP000739,0.015558526,0.000621373
AGAP000741,5.38E-05,1.27E-05
AGAP000743,0.000606264,1.88E-05
AGAP000744,0.006181057,1.05E-05
AGAP000745,0.004705754,3.73E-05
AGAP000747,0.011329757,1.90E-05
AGAP000748,0.001111465,2.76E-05
AGAP000749,0.00075101,5.73E-05
AGAP000750,3.98E-05,1.06E-06
AGAP000751,0.000422817,1.32E-05
AGAP000752,3.30E-05,2.61E-07
AGAP000754,0.000214986,1.54E-06
AGAP000755,8.09E-06,2.05E-07
AGAP000756,0.012720014,1.45E-06
AGAP000757,0.000296764,0.000346466
AGAP000758,8.00E-05,0
AGAP000759,0.000334149,1.75E-05
AGAP000760,1.52E-05,1.52E-05
AGAP000761,0.000267084,0.001347368
AGAP000762,0.000318675,8.42E-06
AGAP000763,3.54E-05,0.000161858
AGAP000765,0.007717101,0.000318882
AGAP000767,0.004604373,9.74E-05
AGAP000768,0.000473011,7.82E-05
AGAP000769,0.002967869,4.71E-06
AGAP000770,0.000103147,0
AGAP000771,0.000531442,1.58E-05
AGAP000773,0.000665906,9.46E-05
AGAP000774,0.000423222,3.74E-07
AGAP000776,2.89E-05,8.22E-05
AGAP000777,0.004565054,0.0015922
AGAP000778,0.00058457,1.47E-05
AGAP000779,0.007081358,0.001205487
AGAP000780,0.005664484,8.06E-05
AGAP000781,0.001935128,5.65E-05
AGAP000782,0.002384959,0.000610896
AGAP000783,3.97E-05,0.000344514
AGAP000784,4.38E-06,0
AGAP000786,0.000652453,1.75E-05
AGAP000787,2.87E-05,0
AGAP000788,0.005296146,0.000149572
AGAP000789,0.013298425,3.09E-05
AGAP000790,3.27E-05,0.000348133
AGAP000791,0.000468302,1.45E-05
AGAP000792,2.15E-05,2.46E-05
AGAP000794,0.003402291,0.000336913
AGAP000795,0.008884107,0.000491765
AGAP000797,0.000162035,7.84E-05
AGAP000798,0.000258689,0.000172928
AGAP000801,0.001728168,0.000140469
AGAP000803,5.18E-06,0
AGAP000805,0.000847891,1.76E-05
AGAP000806,0.000129644,7.95E-06
AGAP000807,0.00012577,3.32E-06
AGAP000808,0.000114749,2.91E-06
AGAP000809,7.02E-05,6.04E-07
AGAP000810,2.11E-05,9.74E-06
AGAP000813,0.000149254,3.88E-07
AGAP000814,5.28E-05,5.70E-06
AGAP000815,0.000112274,3.96E-05
AGAP000816,0.035002494,0.000258631
AGAP000818,1.95E-05,4.65E-05
AGAP000819,0.00010834,3.95E-06
AGAP000820,0.007120636,0.00013349
AGAP000821,0.001255391,5.01E-05
AGAP000822,0.0013129,6.35E-05
AGAP000823,4.20E-06,4.67E-05
AGAP000824,1.90E-06,0
AGAP000825,0.00736465,0.000114628
AGAP000826,3.44E-05,0
AGAP000829,0.025318689,0.002022449
AGAP000830,0.001234343,9.91E-05
AGAP000831,0.000264318,4.82E-06
AGAP000832,0.008691467,0.00012999
AGAP000833,0.000615711,0
AGAP000834,6.19E-08,0
AGAP000835,0.000216854,0.000121602
AGAP000840,0.000448449,1.99E-05
AGAP000841,2.21E-07,0
AGAP000842,0.000518275,0.000171712
AGAP000843,4.87E-06,7.32E-06
AGAP000844,0.000387496,6.83E-07
AGAP000847,0.000714385,4.17E-07
AGAP000848,0.002622011,0.000699059
AGAP000849,0.00894529,0.00038583
AGAP000850,7.10E-05,5.02E-05
AGAP000851,0.018045625,0.000106225
AGAP000852,0.007530821,0.000152061
AGAP000853,0.000140957,6.36E-06
AGAP000854,0.001915593,0.00057165
AGAP000855,0.000494976,3.20E-05
AGAP000856,5.18E-05,5.09E-05
AGAP000857,0.001082088,0.000162865
AGAP000858,0.001441634,3.08E-05
AGAP000859,0.000988698,1.25E-05
AGAP000862,0.007923365,7.72E-05
AGAP000863,0.016519657,4.47E-05
AGAP000864,1.93E-05,0
AGAP000865,0.00014032,2.93E-05
AGAP000869,0.009335907,0.000120623
AGAP000870,5.35E-05,2.91E-05
AGAP000871,0.000760375,0.000169592
AGAP000874,0.000130977,5.08E-06
AGAP000876,0.000950911,4.88E-06
AGAP000877,2.58E-06,0.000170635
AGAP000878,0.000186997,1.82E-05
AGAP000879,2.23E-07,0
AGAP000880,0.002577116,7.19E-05
AGAP000881,1.51E-05,1.35E-05
AGAP000882,0.000316066,4.22E-05
AGAP000883,6.25E-05,7.62E-07
AGAP000884,2.09E-06,1.01E-07
AGAP000885,6.56E-06,8.28E-06
AGAP000886,0.00277925,0.000256148
AGAP000887,0.000101269,6.14E-05
AGAP000888,0.000529691,0.000189025
AGAP000889,0.000117343,0
AGAP000890,0.000285291,5.75E-08
AGAP000891,0.000130381,7.70E-05
AGAP000892,0.000323593,1.27E-05
AGAP000893,0.007400117,0.000104176
AGAP000894,0.000955613,9.22E-05
AGAP000896,0.000634793,1.72E-05
AGAP000897,0.000875226,0.000361058
AGAP000898,0.002832677,0.000264567
AGAP000899,1.94E-06,4.89E-07
AGAP000900,0.000496921,9.46E-05
AGAP000901,0.000538554,1.03E-05
AGAP000903,0.000454924,1.39E-05
AGAP000908,0.000874597,6.62E-06
AGAP000909,2.34E-06,0
AGAP000911,0.000317915,3.92E-05
AGAP000912,8.72E-08,0
AGAP000913,0.002787757,2.09E-05
AGAP000915,0.005829909,6.58E-06
AGAP000916,0.039691781,4.70E-05
AGAP000917,0.00015368,1.29E-07
AGAP000918,0.00857744,1.25E-05
AGAP000919,0.000846332,0.000540432
AGAP000920,3.77E-06,0
